"Program","Year","Period","Geo.Level","State","State.ANSI","Ag.District","Ag.District.Code","County","County.ANSI","Measure","Bearing_type","Domain","Domain.Category","Value","CV...."
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"BLACK BELT",40,"BULLOCK",11,"","ACRES BEARING","TOTAL","NOT SPECIFIED",NA,"(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"BLACK BELT",40,"BULLOCK",11,"","ACRES GROWN","TOTAL","NOT SPECIFIED",3,"15.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"BLACK BELT",40,"BULLOCK",11,"","ACRES NON-BEARING","TOTAL","NOT SPECIFIED",NA,"(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"BLACK BELT",40,"BULLOCK",11,"OPERATIONS ","WITH AREA BEARING","TOTAL","NOT SPECIFIED",1,"(L)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"BLACK BELT",40,"BULLOCK",11,"OPERATIONS ","WITH AREA GROWN","TOTAL","NOT SPECIFIED",6,"52.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"BLACK BELT",40,"BULLOCK",11,"OPERATIONS ","WITH AREA NON-BEARING","TOTAL","NOT SPECIFIED",5,"47.6"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"BLACK BELT",40,"MONTGOMERY",101,"","ACRES BEARING","TOTAL","NOT SPECIFIED",NA,"(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"BLACK BELT",40,"MONTGOMERY",101,"","ACRES GROWN","TOTAL","NOT SPECIFIED",NA,"(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"BLACK BELT",40,"MONTGOMERY",101,"OPERATIONS ","WITH AREA BEARING","TOTAL","NOT SPECIFIED",2,"55.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"BLACK BELT",40,"MONTGOMERY",101,"OPERATIONS ","WITH AREA GROWN","TOTAL","NOT SPECIFIED",2,"52.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"BLACK BELT",40,"SUMTER",119,"","ACRES BEARING","TOTAL","NOT SPECIFIED",NA,"(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"BLACK BELT",40,"SUMTER",119,"","ACRES GROWN","TOTAL","NOT SPECIFIED",NA,"(D)"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"BLACK BELT",40,"SUMTER",119,"OPERATIONS ","WITH AREA BEARING","TOTAL","NOT SPECIFIED",2,"55.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"BLACK BELT",40,"SUMTER",119,"OPERATIONS ","WITH AREA GROWN","TOTAL","NOT SPECIFIED",2,"52.7"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"COASTAL PLAINS & GULF COAST",50,"CONECUH",35,"","ACRES BEARING","TOTAL","NOT SPECIFIED",1,"13.2"
